Page,Component,Item,Current copy,Suggested copy
Home,Hero,Headline,Learn to Sew. Create Your Style.,Learn to Sew. Create Your Style. (Keep - simple and clear)
Home,Hero,Image Alt,Couture Fashion Atelier,Tailoring Studio
Home,Bento Grid - Sew&Su Card,Title,Sew&Su Custom Bespoke,Custom Tailoring & Alterations
Home,Bento Grid - Sew&Su Card,Description,"Upload a reference, consult via WhatsApp, and let Swarna design and sew a masterpiece tailored exactly to your unique body geometry.","Send us a picture of what you want, and let Swarna create a beautiful outfit that fits you perfectly."
Home,Bento Grid - Shop Card,Description,"Discover high-quality toolpacks and machine feet personally tested and recommended by Swarna.","Shop for the same high-quality sewing tools and accessories that Swarna uses every day."
Home,Testimonial Section,Quote,"Swarna's method completely changed how I look at clothes. I no longer just follow patterns; I understand how to deconstruct and build any design.","Swarna’s classes completely changed how I look at clothes. I don't just follow patterns anymore—I actually understand how to make beautiful dresses from scratch."
About,Hero,Subheading,"34 years of experience in dressmaking. A lifelong passion for teaching others how to sew.","34 years of experience making beautiful dresses. A lifelong passion for teaching others how to sew."
Sew&Su,Hero,Image Alt,Bespoke Couture Tailoring,Custom Made Dresses
Sew&Su,Order Form,Headline,Start Your Commission,Start Your Order
Sew&Su,Order Form,WhatsApp Template,"I'd like to consult about a bespoke piece.","I'd like to order a custom outfit."
Sew&Su,How it works,Step 1 (Consultation),"Send your reference. We discuss fabrics, variations for your body type, and exact pricing.","Send us a photo of the dress. We’ll discuss the right fabrics, the perfect fit for you, and give you a price."
Sew&Su,How it works,Step 2 (Measurements),"We guide you through providing exact measurements remotely. Place a deposit to begin.","We’ll show you exactly how to take your measurements at home. Pay a small deposit to get started."
Sew&Su,How it works,Step 3 (Production),"We craft your piece and deliver it island-wide.","We sew your outfit and deliver it straight to your door, anywhere in the country."
Learn,Course Grid,Course 1 Description,"Learn the core philosophy of looking at any garment, mentally deconstructing it, and recreating it without relying on commercial patterns. Perfect for ambitious beginners.","Learn how to look at any dress and sew it from scratch, without needing to buy paper patterns. Perfect for ambitious beginners."
Learn,Course Grid,Course 2 Title,Advanced Pattern Architecture,Advanced Sewing Techniques
Learn,Course Grid,Course 2 Description,"Master the art of modifying structural patterns for unique body shapes. Learn dart manipulation, paneling, and complex silhouette drafting.","Learn how to adjust dresses to fit different body shapes perfectly. Master advanced techniques to sew beautiful, flattering clothes."
Learn,Course Grid,Course 3 Title,Bridal Wear Masterclass,Bridal Dress Masterclass
Learn,Course Grid,Course 3 Description,"A comprehensive, high-end guide to designing, fitting, and sewing stunning bridal wear. Covers lace appliqué, corset structuring, and invisible finishing.","A complete guide to designing, fitting, and sewing beautiful wedding dresses. Learn how to work with lace, corsets, and high-end finishes."
Shop,Hero,Image Alt,Tailoring Shears & Tools,Sewing Scissors & Tools
